,Time(s),Row x Col
26x18,0.207059,468
36x13,0.097065,468
39x12,0.00735,468
52x9,0.100083,468
78x6,0.106671,468
67x7,0.193528,469
47x10,0.098634,470
94x5,0.203192,470
59x8,0.101254,472
43x11,0.195065,473
79x6,0.107383,474
25x19,0.098143,475
95x5,0.294267,475
28x17,0.097307,476
34x14,0.097379,476
68x7,0.104213,476
53x9,0.100386,477
24x20,0.008654,480
30x16,0.097335,480
32x15,0.007468,480
40x12,0.097702,480
48x10,0.099264,480
60x8,0.301982,480
80x6,0.197772,480
96x5,0.204043,480
37x13,0.103336,481
23x21,0.098911,483
69x7,0.10482,483
44x11,0.09889,484
97x5,0.296381,485
27x18,0.097815,486
54x9,0.100829,486
81x6,0.199235,486
61x8,0.102613,488
35x14,0.007588,490
49x10,0.100058,490
70x7,0.105149,490
98x5,0.206096,490
41x12,0.098185,492
82x6,0.199604,492
29x17,0.097738,493
26x19,0.097265,494
38x13,0.007927,494
33x15,0.098149,495
45x11,0.099136,495
55x9,0.101682,495
99x5,0.206973,495
31x16,0.097806,496
62x8,0.102674,496
71x7,0.195875,497
83x6,0.200019,498
25x20,0.098889,500
50x10,0.100307,500
24x21,0.098423,504
28x18,0.007545,504
36x14,0.008078,504
42x12,0.098269,504
56x9,0.101888,504
63x8,0.103175,504
72x7,0.196328,504
84x6,0.202107,504
23x22,0.099368,506
46x11,0.099601,506
39x13,0.099133,507
30x17,0.098261,510
34x15,0.098501,510
51x10,0.100541,510
85x6,0.201285,510
73x7,0.19695,511
32x16,0.098054,512
64x8,0.103837,512
27x19,0.098708,513
57x9,0.191939,513
43x12,0.098759,516
86x6,0.202777,516
47x11,0.099673,517
37x14,0.092576,518
74x7,0.107711,518
26x20,0.098616,520
40x13,0.098772,520
52x10,0.100256,520
65x8,0.104563,520
29x18,0.098745,522
58x9,0.10448,522
87x6,0.293374,522
25x21,0.098968,525
35x15,0.097736,525
75x7,0.198212,525
31x17,0.098409,527
24x22,0.099572,528
33x16,0.097695,528
44x12,0.099445,528
48x11,0.108542,528
66x8,0.194999,528
88x6,0.292503,528
53x10,0.191463,530
59x9,0.102888,531
28x19,0.098149,532
38x14,0.098268,532
76x7,0.199159,532
41x13,0.098831,533
89x6,0.204627,534
67x8,0.10557,536
49x11,0.100721,539
77x7,0.199896,539
27x20,0.105047,540
30x18,0.09844,540
36x15,0.098238,540
45x12,0.100056,540
54x10,0.192194,540
60x9,0.103471,540
90x6,0.294262,540
32x17,0.098473,544
34x16,0.098751,544
68x8,0.196452,544
26x21,0.008127,546
39x14,0.098794,546
42x13,0.099508,546
78x7,0.199731,546
91x6,0.205168,546
61x9,0.194068,549
25x22,0.099819,550
50x11,0.100943,550
55x10,0.103215,550
29x19,0.098825,551
24x23,0.099414,552
46x12,0.100421,552
69x8,0.197718,552
92x6,0.295679,552
79x7,0.20003,553
37x15,0.098754,555
31x18,0.008563,558
62x9,0.104605,558
93x6,0.298822,558
43x13,0.100113,559
28x20,0.098922,560
35x16,0.09917,560
40x14,0.099017,560
56x10,0.10274,560
70x8,0.197286,560
80x7,0.201235,560
33x17,0.00925,561
51x11,0.101277,561
47x12,0.101012,564
94x6,0.298125,564
27x21,0.101132,567
63x9,0.194833,567
81x7,0.291901,567
71x8,0.108078,568
30x19,0.099481,570
38x15,0.099285,570
57x10,0.103734,570
95x6,0.299948,570
26x22,0.10039,572
44x13,0.100227,572
52x11,0.195452,572
41x14,0.099716,574
82x7,0.293216,574
25x23,0.099722,575
32x18,0.099036,576
36x16,0.099485,576
48x12,0.184457,576
64x9,0.195489,576
72x8,0.198332,576
96x6,0.299187,576
34x17,0.099248,578
29x20,0.100024,580
58x10,0.196236,580
83x7,0.203547,581
97x6,0.300745,582
53x11,0.102726,583
73x8,0.199058,584
39x15,0.099724,585
45x13,0.100905,585
65x9,0.196552,585
28x21,0.099474,588
42x14,0.10011,588
49x12,0.101277,588
84x7,0.204558,588
98x6,0.300331,588
31x19,0.100477,589
59x10,0.194526,590
37x16,0.099325,592
74x8,0.290371,592
27x22,0.100035,594
33x18,0.099025,594
54x11,0.102638,594
66x9,0.10693,594
99x6,0.392582,594
35x17,0.099137,595
85x7,0.294483,595
26x23,0.1908,598
46x13,0.101199,598
25x24,0.101183,600
30x20,0.208969,600
40x15,0.099576,600
50x12,0.101395,600
60x10,0.104935,600
75x8,0.200649,600
43x14,0.100816,602
86x7,0.296115,602
67x9,0.197335,603
55x11,0.103266,605
32x19,0.099525,608
38x16,0.100513,608
76x8,0.200889,608
29x21,0.100057,609
87x7,0.206359,609
61x10,0.10538,610
47x13,0.101495,611
34x18,0.099511,612
36x17,0.10004,612
51x12,0.101739,612
68x9,0.199207,612
41x15,0.100422,615
28x22,0.100244,616
44x14,0.101256,616
56x11,0.193711,616
77x8,0.201976,616
88x7,0.206916,616
31x20,0.099513,620
62x10,0.196088,620
27x23,0.101395,621
69x9,0.198779,621
89x7,0.299126,623
26x24,0.100111,624
39x16,0.100333,624
48x13,0.10179,624
52x12,0.103758,624
78x8,0.293422,624
33x19,0.10009,627
57x11,0.104491,627
37x17,0.100636,629
30x21,0.09974,630
35x18,0.099707,630
42x15,0.101612,630
45x14,0.211521,630
63x10,0.106098,630
70x9,0.199219,630
90x7,0.208561,630
79x8,0.29399,632
53x12,0.103544,636
49x13,0.102747,637
91x7,0.299931,637
29x22,0.100148,638
58x11,0.194954,638
71x9,0.200224,639
32x20,0.102792,640
40x16,0.100432,640
64x10,0.196805,640
80x8,0.203876,640
28x23,0.101316,644
46x14,0.102317,644
92x7,0.300905,644
43x15,0.101316,645
34x19,0.100116,646
38x17,0.100815,646
27x24,0.100681,648
36x18,0.101103,648
54x12,0.104543,648
72x9,0.200226,648
81x8,0.205737,648
59x11,0.105726,649
26x25,0.101926,650
50x13,0.10271,650
65x10,0.108393,650
31x21,0.190977,651
93x7,0.302096,651
41x16,0.101432,656
82x8,0.20562,656
73x9,0.201219,657
47x14,0.102146,658
94x7,0.302198,658
30x22,0.100329,660
33x20,0.100795,660
44x15,0.101597,660
55x12,0.195261,660
60x11,0.196631,660
66x10,0.198424,660
39x17,0.101205,663
51x13,0.103485,663
83x8,0.297792,664
35x19,0.101114,665
95x7,0.304329,665
37x18,0.101648,666
74x9,0.202225,666
29x23,0.101273,667
67x10,0.199776,670
61x11,0.196628,671
28x24,0.101888,672
32x21,0.322067,672
42x16,0.101378,672
48x14,0.102773,672
56x12,0.105186,672
84x8,0.297335,672
96x7,0.303227,672
27x25,0.101964,675
45x15,0.102286,675
75x9,0.204015,675
52x13,0.103677,676
97x7,0.395116,679
34x20,0.101264,680
40x17,0.100893,680
68x10,0.199828,680
85x8,0.411443,680
31x22,0.101479,682
62x11,0.197666,682
36x19,0.101317,684
38x18,0.101679,684
57x12,0.196105,684
76x9,0.293926,684
49x14,0.193588,686
98x7,0.396029,686
43x16,0.102383,688
86x8,0.298483,688
53x13,0.194707,689
30x23,0.101679,690
46x15,0.103172,690
69x10,0.201706,690
33x21,0.191241,693
63x11,0.19852,693
77x9,0.294849,693
99x7,0.39829,693
29x24,0.106009,696
58x12,0.106223,696
87x8,0.300312,696
41x17,0.101619,697
28x25,0.191601,700
35x20,0.101337,700
50x14,0.19381,700
70x10,0.201784,700
27x26,0.102751,702
39x18,0.102469,702
54x13,0.195119,702
78x9,0.206093,702
37x19,0.101129,703
32x22,0.101557,704
44x16,0.102504,704
64x11,0.199717,704
88x8,0.299955,704
47x15,0.193419,705
59x12,0.197303,708
71x10,0.202586,710
79x9,0.205934,711
89x8,0.301935,712
31x23,0.102117,713
34x21,0.101995,714
42x17,0.192658,714
51x14,0.19453,714
55x13,0.196569,715
65x11,0.200149,715
30x24,0.10243,720
36x20,0.191883,720
40x18,0.101522,720
45x16,0.193666,720
48x15,0.104004,720
60x12,0.198227,720
72x10,0.203548,720
80x9,0.297536,720
90x8,0.392463,720
38x19,0.192335,722
29x25,0.098814,725
33x22,0.101623,726
66x11,0.19954,726
28x26,0.102436,728
52x14,0.195298,728
56x13,0.196341,728
91x8,0.393778,728
81x9,0.408081,729
73x10,0.294143,730
43x17,0.102926,731
61x12,0.198584,732
35x21,0.102412,735
49x15,0.104495,735
32x23,0.192198,736
46x16,0.194101,736
92x8,0.393894,736
67x11,0.201751,737
41x18,0.102278,738
82x9,0.298963,738
37x20,0.102575,740
74x10,0.204953,740
39x19,0.192919,741
57x13,0.197815,741
53x14,0.106104,742
31x24,0.102747,744
62x12,0.199426,744
93x8,0.397592,744
83x9,0.299313,747
34x22,0.102131,748
44x17,0.103272,748
68x11,0.201969,748
30x25,0.10333,750
50x15,0.104947,750
75x10,0.295981,750
47x16,0.104318,752
94x8,0.396039,752
29x26,0.192781,754
58x13,0.19793,754
28x27,0.103474,756
36x21,0.102501,756
42x18,0.103528,756
54x14,0.196527,756
63x12,0.199734,756
84x9,0.301817,756
33x23,0.103134,759
69x11,0.202414,759
38x20,0.102894,760
40x19,0.102765,760
76x10,0.206303,760
95x8,0.398278,760
45x17,0.104578,765
51x15,0.105107,765
85x9,0.301226,765
59x13,0.306124,767
32x24,0.102747,768
48x16,0.194407,768
64x12,0.200958,768
96x8,0.398019,768
35x22,0.193239,770
55x14,0.10776,770
70x11,0.202971,770
77x10,0.208117,770
43x18,0.193638,774
86x9,0.303546,774
31x25,0.193631,775
97x8,0.400401,776
37x21,0.193316,777
41x19,0.193053,779
30x26,0.192819,780
39x20,0.102811,780
52x15,0.196507,780
60x13,0.199328,780
65x12,0.401634,780
78x10,0.29856,780
71x11,0.204521,781
34x23,0.194068,782
46x17,0.104505,782
29x27,0.104466,783
87x9,0.393787,783
49x16,0.185365,784
56x14,0.197413,784
98x8,0.40135,784
79x10,0.29811,790
33x24,0.103894,792
36x22,0.103869,792
44x18,0.19476,792
66x12,0.292783,792
72x11,0.295266,792
88x9,0.395645,792
99x8,0.401919,792
61x13,0.200391,793
53x15,0.196872,795
38x21,0.103647,798
42x19,0.195491,798
57x14,0.198563,798
47x17,0.105465,799
32x25,0.103901,800
40x20,0.193356,800
50x16,0.195881,800
80x10,0.29868,800
89x9,0.395945,801
73x11,0.205143,803
67x12,0.293589,804
35x23,0.103794,805
31x26,0.103973,806
62x13,0.200974,806
30x27,0.10488,810
45x18,0.19519,810
54x15,0.217892,810
81x10,0.302828,810
90x9,0.305327,810
29x28,0.196081,812
58x14,0.199311,812
37x22,0.199283,814
74x11,0.296756,814
34x24,0.103958,816
48x17,0.105684,816
51x16,0.311358,816
68x12,0.203657,816
43x19,0.10456,817
