,Time (s),Row x Col
75x4,0.020193,300
100x3,0.033882,300
43x7,0.008033,301
101x3,0.034627,303
19x16,0.003585,304
38x8,0.006852,304
76x4,0.021097,304
61x5,0.014485,305
18x17,0.003709,306
34x9,0.005884,306
51x6,0.010768,306
102x3,0.035651,306
22x14,0.003772,308
28x11,0.004643,308
44x7,0.008717,308
77x4,0.021767,308
103x3,0.036663,309
31x10,0.005295,310
62x5,0.015062,310
24x13,0.003993,312
26x12,0.004313,312
39x8,0.007341,312
52x6,0.011347,312
78x4,0.022829,312
104x3,0.038217,312
21x15,0.003831,315
35x9,0.006307,315
45x7,0.009253,315
63x5,0.015568,315
79x4,0.023577,316
53x6,0.01187,318
29x11,0.004991,319
20x16,0.003958,320
32x10,0.005668,320
40x8,0.007712,320
64x5,0.016305,320
80x4,0.024084,320
23x14,0.004109,322
46x7,0.00963,322
19x17,0.004045,323
27x12,0.004648,324
36x9,0.007019,324
54x6,0.012514,324
81x4,0.024932,324
25x13,0.004416,325
65x5,0.017068,325
41x8,0.008221,328
82x4,0.025621,328
47x7,0.010203,329
22x15,0.004167,330
30x11,0.005417,330
33x10,0.006139,330
55x6,0.01331,330
66x5,0.017774,330
83x4,0.027053,332
37x9,0.007309,333
67x5,0.018544,335
21x16,0.004275,336
24x14,0.004545,336
28x12,0.005139,336
42x8,0.008778,336
48x7,0.010841,336
56x6,0.013684,336
84x4,0.027518,336
26x13,0.0048,338
20x17,0.004365,340
34x10,0.006543,340
68x5,0.01931,340
85x4,0.028593,340
31x11,0.006144,341
19x18,0.00458,342
38x9,0.007692,342
57x6,0.014406,342
49x7,0.011305,343
43x8,0.009299,344
86x4,0.029226,344
23x15,0.004585,345
69x5,0.020019,345
29x12,0.005527,348
58x6,0.015225,348
87x4,0.030298,348
25x14,0.004931,350
35x10,0.007038,350
50x7,0.011941,350
70x5,0.021035,350
27x13,0.005321,351
39x9,0.008336,351
22x16,0.004725,352
32x11,0.006242,352
44x8,0.010109,352
88x4,0.031129,352
59x6,0.015734,354
71x5,0.021658,355
89x4,0.03215,356
21x17,0.004781,357
51x7,0.012539,357
20x18,0.004904,360
24x15,0.004974,360
30x12,0.006055,360
36x10,0.007436,360
40x9,0.008675,360
45x8,0.010331,360
60x6,0.01648,360
72x5,0.022458,360
90x4,0.033301,360
33x11,0.00678,363
26x14,0.005292,364
28x13,0.005734,364
52x7,0.013224,364
91x4,0.03478,364
73x5,0.023328,365
61x6,0.017183,366
23x16,0.005026,368
46x8,0.011093,368
92x4,0.035601,368
41x9,0.009496,369
37x10,0.008286,370
74x5,0.024172,370
53x7,0.014088,371
31x12,0.006565,372
62x6,0.018057,372
93x4,0.036351,372
22x17,0.005093,374
34x11,0.007319,374
25x15,0.005371,375
75x5,0.025061,375
47x8,0.011639,376
94x4,0.038184,376
29x13,0.006077,377
21x18,0.005242,378
27x14,0.005749,378
42x9,0.009898,378
54x7,0.014647,378
63x6,0.018743,378
20x19,0.005396,380
38x10,0.008746,380
76x5,0.02626,380
95x4,0.038618,380
24x16,0.005485,384
32x12,0.006972,384
48x8,0.012527,384
64x6,0.019918,384
96x4,0.039609,384
35x11,0.007893,385
55x7,0.015603,385
77x5,0.02726,385
43x9,0.010503,387
97x4,0.040947,388
26x15,0.005803,390
30x13,0.006594,390
39x10,0.00918,390
65x6,0.020338,390
78x5,0.028117,390
23x17,0.005615,391
28x14,0.006249,392
49x8,0.013201,392
56x7,0.016005,392
98x4,0.042109,392
79x5,0.028897,395
22x18,0.005734,396
33x12,0.00745,396
36x11,0.00838,396
44x9,0.011228,396
66x6,0.021469,396
99x4,0.043299,396
21x19,0.005843,399
57x7,0.016974,399
25x16,0.005938,400
40x10,0.010066,400
50x8,0.013623,400
80x5,0.029825,400
100x4,0.044526,400
67x6,0.022261,402
31x13,0.007039,403
101x4,0.046053,404
27x15,0.006327,405
45x9,0.011758,405
81x5,0.030883,405
29x14,0.006717,406
58x7,0.017781,406
37x11,0.009049,407
24x17,0.00606,408
34x12,0.008226,408
51x8,0.014455,408
68x6,0.023152,408
102x4,0.046922,408
41x10,0.010311,410
82x5,0.032292,410
103x4,0.04859,412
59x7,0.018801,413
23x18,0.006145,414
46x9,0.012583,414
69x6,0.024349,414
83x5,0.033012,415
26x16,0.006464,416
32x13,0.007616,416
52x8,0.015404,416
104x4,0.049578,416
22x19,0.006304,418
38x11,0.009583,418
21x20,0.006544,420
28x15,0.00677,420
30x14,0.007237,420
35x12,0.008653,420
42x10,0.011087,420
60x7,0.019294,420
70x6,0.024918,420
84x5,0.034121,420
47x9,0.013238,423
53x8,0.015976,424
25x17,0.006516,425
85x5,0.035568,425
71x6,0.025924,426
61x7,0.020079,427
33x13,0.008256,429
39x11,0.010257,429
43x10,0.011695,430
86x5,0.036678,430
24x18,0.006599,432
27x16,0.006954,432
36x12,0.009197,432
48x9,0.013982,432
54x8,0.016903,432
72x6,0.026877,432
31x14,0.007907,434
62x7,0.021217,434
29x15,0.007349,435
87x5,0.038161,435
23x19,0.006794,437
73x6,0.027985,438
22x20,0.006982,440
40x11,0.011097,440
44x10,0.012589,440
55x8,0.017609,440
88x5,0.038924,440
49x9,0.014922,441
63x7,0.021889,441
26x17,0.007054,442
34x13,0.008854,442
37x12,0.010019,444
74x6,0.029174,444
89x5,0.0401,445
28x16,0.007663,448
32x14,0.008341,448
56x8,0.018415,448
64x7,0.022974,448
25x18,0.007144,450
30x15,0.007876,450
45x10,0.013368,450
50x9,0.015602,450
75x6,0.030148,450
90x5,0.041664,450
41x11,0.011477,451
35x13,0.009963,455
65x7,0.023874,455
